Date,AAPL.US,MSFT.US,NVDA.US,JPM.US,GS.US,BAC.US,JNJ.US,UNH.US,AMZN.US,MCD.US,XOM.US,CVX.US,CAT.US,HON.US,T.US
2025-10-31,269.6072,515.6657,202.4678,308.1505,781.3639,52.8748,186.6859,336.6616,244.22,295.0019,112.6178,154.4669,574.8182,199.1426,24.2098
2025-11-03,268.291,514.8889,206.8573,306.3974,777.553,52.9836,184.1061,329.003,254.0,292.9656,112.0269,150.8628,568.1764,195.6213,23.9946
2025-11-04,269.2782,512.2001,198.6682,306.2983,782.8091,52.9638,184.6992,326.0854,249.32,295.773,112.4011,150.2262,545.2637,194.3255,23.9066
2025-11-05,269.3779,505.0598,195.1886,308.7051,785.0462,51.8855,183.8491,323.0398,250.2,302.1587,111.9481,149.5113,566.7425,194.9091,24.024
2025-11-06,269.0089,495.0414,188.0593,310.4285,779.5921,52.7165,184.8079,316.9484,243.04,294.9821,112.7556,149.7855,567.3698,193.7815,24.2
2025-11-07,267.7126,494.7626,188.1293,311.211,778.3646,52.6275,184.4125,319.5604,244.41,296.2178,115.4342,151.8226,560.7181,191.9615,24.2881
2025-11-10,268.9303,503.9046,199.0281,313.8654,789.1145,52.8451,186.2313,316.9681,248.4,295.6642,116.419,152.4396,568.4353,193.9398,24.2881
2025-11-11,274.7396,506.5735,193.1388,312.6075,802.0915,53.0528,191.5886,322.7539,249.1,303.3054,117.9552,153.0174,565.5276,198.2326,24.6304
2025-11-12,272.9629,509.0233,193.7787,317.3518,830.4608,53.5277,192.1421,334.1974,244.2,303.4142,116.3205,150.1577,570.5961,199.3998,25.0902
2025-11-13,272.4438,501.2058,186.8395,306.5261,797.3303,52.301,192.9922,327.7512,237.58,304.0468,116.9803,152.3711,551.2085,197.6985,25.188
2025-11-14,271.9048,508.0673,190.1491,300.7121,782.8883,52.0438,193.6643,317.2441,234.69,303.5031,118.5002,154.369,551.6864,198.0567,25.0315
2025-11-17,266.964,505.3884,186.5795,297.5031,767.694,50.926,197.2721,315.9233,232.87,301.3976,116.9008,151.6267,549.7148,195.1113,24.9141
2025-11-18,266.944,491.7451,181.3401,296.5522,768.4265,51.0842,197.6872,309.0828,222.55,301.0912,118.2419,152.1318,544.5667,190.5042,25.0413
2025-11-19,268.062,485.1028,186.4995,300.3754,778.0182,51.4602,200.1682,304.6572,222.69,299.2624,116.573,150.2304,550.7703,189.6285,24.7185
2025-11-20,265.7562,477.3405,180.6202,295.5321,765.8528,50.4511,200.7217,307.0721,217.14,300.6661,116.2452,148.8539,543.8199,187.2105,24.963
2025-11-21,270.9865,471.0449,178.8604,295.1755,766.1795,51.0051,201.5421,315.3812,220.69,305.7965,116.3048,148.5271,548.1017,189.0813,25.3641
2025-11-24,275.4083,472.9206,182.53,295.1557,782.6903,51.3711,203.6673,314.4744,226.28,301.3976,115.2021,148.2993,557.2329,187.728,25.0608
2025-11-25,276.4564,475.9038,177.8005,300.108,794.1826,51.9152,205.5771,321.6007,229.67,306.8838,113.7518,147.0911,564.2132,190.0763,25.2956
2025-11-26,277.0353,484.3944,180.2402,304.7037,807.7337,52.4197,206.4624,324.9815,229.16,308.8114,114.0101,148.0616,571.3031,189.0514,25.2565
2025-11-28,278.3329,490.8896,176.9806,310.0918,817.662,53.0726,205.8258,325.0407,233.22,308.2381,115.1525,149.6659,573.3245,191.2405,25.4521
2025-12-01,282.575,485.6316,179.9002,305.9715,802.6359,52.667,204.2542,318.5747,233.88,301.8836,115.8578,151.0623,565.6571,189.2803,25.2271
2025-12-02,285.6593,488.8841,181.4401,304.9414,810.9422,52.6176,204.3337,319.8857,234.42,299.0494,114.616,148.7944,580.0061,192.1958,24.963
2025-12-03,283.623,476.6421,179.5703,309.1508,832.1904,53.5079,204.2442,334.8381,232.38,306.0006,117.02,150.1215,588.988,192.5142,24.7674
2025-12-04,280.1794,479.745,183.3701,313.0829,833.4438,53.5771,201.4093,328.7073,229.11,306.826,116.3644,150.785,596.6156,191.2803,24.8358
2025-12-05,278.263,482.0597,182.4001,312.033,850.0862,53.6467,200.8622,326.1643,229.53,309.501,115.7684,148.5469,600.6186,190.3848,24.7282
